Strain,Pre/post,Value,,,,,,,,,
C3H/HeJ,Pre-sensitization,755.928,,,,,,,,,
C3H/HeJ,Pre-sensitization,879.575,,,,,,,,,
C3H/HeJ,Pre-sensitization,746.349,,,,,,,,,
C3H/HeJ,Pre-sensitization,1760.29,,,,,,,,,
C3H/HeJ,Pre-sensitization,981.788,,,,,,,,,
C3H/HeJ,Pre-sensitization,717.166,,,,,,,,,
C3H/HeJ,Pre-sensitization,725.112,,,,,,,,,
C3H/HeJ,Pre-sensitization,1066.528,,,,,,,,,
C3H/HeJ,Pre-sensitization,918.752,,,,,,,,,
C3H/HeJ,Pre-sensitization,1010.476,,,,,,,,,
C3H/HeJ,Pre-sensitization,1033.178,,,,,,,,,
C3H/HeJ,Pre-sensitization,649.77,,,,,,,,,
CC027,Pre-sensitization,1665.954,,,,,,,,,
CC027,Pre-sensitization,519.253,,,,,,,,,
CC027,Pre-sensitization,1390.409,,,,,,,,,
CC027,Pre-sensitization,4493.472,,,,,,,,,
CC027,Pre-sensitization,940.613,,,,,,,,,
CC027,Pre-sensitization,637.215,,,,,,,,,
CC027,Pre-sensitization,868.191,,,,,,,,,
CC027,Pre-sensitization,3359.465,,,,,,,,,
CC027,Pre-sensitization,966.937,,,,,,,,,
CC027,Pre-sensitization,2632.685,,,,,,,,,
CC027,Pre-sensitization,965.289,,,,,,,,,
CC027,Pre-sensitization,4770.042,,,,,,,,,
C3H/HeJ,Post-sensitization,4654.593,,,,,,,,,
C3H/HeJ,Post-sensitization,7134.493,,,,,,,,,
C3H/HeJ,Post-sensitization,6498.388,,,,,,,,,
C3H/HeJ,Post-sensitization,4923.292,,,,,,,,,
C3H/HeJ,Post-sensitization,2535.46,,,,,,,,,
C3H/HeJ,Post-sensitization,5618.999,,,,,,,,,
C3H/HeJ,Post-sensitization,156.906,,,,,,,,,
C3H/HeJ,Post-sensitization,4134.627,,,,,,,,,
C3H/HeJ,Post-sensitization,4944.366,,,,,,,,,
C3H/HeJ,Post-sensitization,6975.544,,,,,,,,,
C3H/HeJ,Post-sensitization,3033.983,,,,,,,,,
C3H/HeJ,Post-sensitization,3784.412,,,,,,,,,
C3H/HeJ,Post-sensitization,4488.791,,,,,,,,,
C3H/HeJ,Post-sensitization,5661.38,,,,,,,,,
C3H/HeJ,Post-sensitization,1769.034,,,,,,,,,
C3H/HeJ,Post-sensitization,3391.929,,,,,,,,,
C3H/HeJ,Post-sensitization,2204.8,,,,,,,,,
C3H/HeJ,Post-sensitization,8335.534,,,,,,,,,
C3H/HeJ,Post-sensitization,3184.179,,,,,,,,,
C3H/HeJ,Post-sensitization,4139.899,,,,,,,,,
C3H/HeJ,Post-sensitization,2000.577,,,,,,,,,
C3H/HeJ,Post-sensitization,3715.392,,,,,,,,,
C3H/HeJ,Post-sensitization,171.726,,,,,,,,,
C3H/HeJ,Post-sensitization,2229.311,,,,,,,,,
CC027,Post-sensitization,203.937,,,,,,,,,
CC027,Post-sensitization,5604.163,,,,,,,,,
CC027,Post-sensitization,5333.562,,,,,,,,,
CC027,Post-sensitization,1165.359,,,,,,,,,
CC027,Post-sensitization,5367.704,,,,,,,,,
CC027,Post-sensitization,2399.163,,,,,,,,,
CC027,Post-sensitization,5674.047,,,,,,,,,
CC027,Post-sensitization,3565.86,,,,,,,,,
CC027,Post-sensitization,4337.881,,,,,,,,,
CC027,Post-sensitization,6694.206,,,,,,,,,
CC027,Post-sensitization,6523.896,,,,,,,,,
CC027,Post-sensitization,6909.555,,,,,,,,,
CC027,Post-sensitization,10030.44,,,,,,,,,
CC027,Post-sensitization,888.801,,,,,,,,,
CC027,Post-sensitization,6776.16,,,,,,,,,
CC027,Post-sensitization,6394.501,,,,,,,,,
CC027,Post-sensitization,8651.936,,,,,,,,,
CC027,Post-sensitization,8359.46,,,,,,,,,
CC027,Post-sensitization,14403.47,,,,,,,,,
CC027,Post-sensitization,7130.307,,,,,,,,,
CC027,Post-sensitization,3613.823,,,,,,,,,
CC027,Post-sensitization,7464.492,,,,,,,,,
CC027,Post-sensitization,9278.864,,,,,,,,,
,,,,,,,,,,,
