Sample_ID,Strain,Sex,Live.LN.T,CD3T.LN.T,LN_CD3Tper,CD4T.LN.T,LN_CD4Tper,Treg.LN.T,LN_Tregper,CD8T.LN.T,LN_CD8Tper,DNT.LN.T,LN_DNTper,DPT.LN.T,LN_DPTper,Live.Spl.T,CD3T.Spl.T,Spl_CD3Tper,CD4T.Spl.T,Spl_CD4Tper,Treg.Spl.T,Spl_Tregper,CD8T.Spl.T,Spl_CD8Tper,DNT.Spl.T,Spl_DNTper,DPT.Spl.T,Spl_DPTper,Live.Thy.T,CD3T.Thy.T,Thy_CD3Tper,CD4T.Thy.T,Thy_CD4Tper,Treg.Thy.T,Thy_Tregper,CD8T.Thy.T,Thy_CD8Tper,DNT.Thy.T,Thy_DNTper,DPT.Thy.T,Thy_DPTper
CC007_M01,CC007,m,4.446117581,3.593396842,0.140371603,3.412628521,0.659525631,1.924279286,0.032482599,2.937517892,0.220862025,2.597695186,0.100994644,1.255272505,0.004590666,4.943974052,4.557447046,0.410651103,4.312473558,0.568887658,3.131297797,0.065890718,4.016197354,0.287574456,3.627775375,0.117578612,2.235528447,0.004765203,5.75796434,4.731242158,0.094032464,4.553166699,0.663627755,3.014520539,0.02893036,3.71222867,0.095716434,3.715585552,0.096459142,3.767897616,0.108806655
CC007_M02,CC007,m,4.884529157,4.360271454,0.299048961,4.209541822,0.706757405,2.800717078,0.039009938,3.683587318,0.210530908,3.138618434,0.060027047,1.716003344,0.002268464,5.240940935,4.793287373,0.356735589,4.533187184,0.549414113,3.317227349,0.060819125,4.201287854,0.255858872,3.987442805,0.156370719,2.57634135,0.006068117,5.633211843,4.656673046,0.105550721,4.481886729,0.66867284,2.962369336,0.030233095,3.621384028,0.092195767,3.583538819,0.084501764,3.747100931,0.123148148
CC007_M03,CC007,m,4.988599085,4.51913204,0.339260233,4.407594831,0.773504403,2.983626287,0.037673109,3.717087725,0.15774503,3.184975191,0.046327957,2,0.003025993,5.178640311,4.746166964,0.369425316,4.473983023,0.534337998,3.174641193,0.050194735,4.174117981,0.267886616,3.936714758,0.155077144,2.580924976,0.006835307,5.714600481,4.82022117,0.127532446,4.658726677,0.689454336,3.114277297,0.028546352,3.838156185,0.104216148,3.677059177,0.071918067,3.83372069,0.103157194
CC007_F04,CC007,f,4.871899701,4.323643923,0.282972494,4.197032319,0.747116617,2.755874856,0.036211168,3.562292864,0.173240306,3.05804623,0.05425032,1.681241237,0.002278229,5.184694269,4.708038281,0.333690629,4.327747071,0.416589952,2.95230801,0.042127039,4.124210683,0.260718833,4.138460595,0.269415336,2.434568904,0.005327588,5.549777921,4.701550717,0.141831532,4.53583823,0.682790568,3.011147361,0.029875084,3.827627705,0.133683248,3.424064525,0.052785399,3.699490845,0.09952682
CC007_F05,CC007,f,5.187105969,4.509565403,0.21011615,4.420533323,0.814644106,2.959518377,0.034592747,3.487703863,0.095090791,3.333648757,0.066693476,2.025305865,0.003278993,na,na,na,na,na,na,na,na,na,na,na,na,na,5.522704993,4.755303039,0.170843337,4.611617111,0.71831357,3.008174184,0.024920518,3.846275242,0.123302591,3.495544338,0.054984629,3.643057684,0.077224418
CC007_F06,CC007,f,5.005682322,4.666910914,0.458383095,4.519434195,0.71207097,2.945468585,0.026670699,4.05376969,0.243701822,3.133858125,0.02930537,2.056904851,0.002454675,5.189032477,4.776752018,0.387007642,4.495572087,0.52338355,3.141449773,0.044246374,4.197749068,0.263631348,4.037546012,0.182303075,2.403120521,0.004230274,5.674923572,4.764579592,0.122929473,4.585708827,0.662413591,3.080265627,0.031228908,3.739809599,0.094456099,3.757320097,0.098342332,3.799822831,0.108453417
CC019_M07,CC019,m,4.766003644,3.329601248,0.036609821,3.158362492,0.674157303,1.579783597,0.026388889,2.63447727,0.201779026,2.348304863,0.104400749,0.698970004,0.002340824,5.240309571,5.035969769,0.624683734,4.699239183,0.460542183,3.099335278,0.025124423,4.684414443,0.445086758,3.92992956,0.078335711,2.555094449,0.003304644,5.659764123,4.939823651,0.190572192,4.744801319,0.638230666,3.356408327,0.040889049,4.166903524,0.168686323,3.844477176,0.080288533,3.774954689,0.068411803
CC019_M08,CC019,m,5.144527507,5.039124493,0.784507295,4.886310202,0.703373025,3.438384107,0.03565118,4.490337794,0.282626774,2.729974286,0.004907381,2.387389826,0.002229797,5.362799032,5.169645049,0.64098227,4.848299987,0.47715001,3.260071388,0.025809013,4.814167657,0.441085324,3.975937042,0.06401651,2.836956737,0.004648488,5.763966783,5.036465206,0.187283028,4.818674477,0.605632637,3.500236475,0.048035465,4.286523832,0.177851948,3.782759193,0.055756305,4.086929024,0.112321739
CC019_M09,CC019,m,5.002938893,4.923974139,0.833748845,4.748707319,0.667933429,3.393224116,0.044107942,4.427226364,0.318604734,2.764176132,0.006921528,2.029383778,0.001274705,5.157725663,4.993740351,0.685511409,4.680679911,0.486339519,3.055760465,0.023718136,4.651529987,0.454767726,3.647187298,0.045024298,2.561101384,0.003692845,5.556021325,4.795907811,0.173734667,4.531504463,0.543997184,3.27392678,0.055261455,3.930694388,0.136391271,4.040523226,0.175636759,3.733197265,0.086554461
CC019_F10,CC019,f,4.985246791,4.892050057,0.806869439,4.706939566,0.652964407,3.374198258,0.046479205,4.411131271,0.330431326,2.88592634,0.009859986,1.892094603,0.001000103,5.121366125,4.873564715,0.565195363,4.5669322,0.493591287,3.154728207,0.038707579,4.476382326,0.400698403,3.807940721,0.085975757,2.367355921,0.00311739,5.728791914,4.882211369,0.142370318,4.486557985,0.402111614,3.170555059,0.048305555,3.817102404,0.086077776,4.448721775,0.368561873,3.791971201,0.081238114
CC019_F11,CC019,f,5.116700702,5.020580861,0.801456875,4.847517135,0.671330339,3.4827307,0.043173133,4.513603764,0.311188044,3.033423755,0.010300134,2.190331698,0.00147826,5.231640318,4.986261026,0.568356339,4.668805097,0.481442107,3.144574208,0.029906742,4.604118006,0.414817414,3.917925422,0.085440621,2.532754379,0.0035196,5.496075434,4.711680717,0.164287788,4.485238609,0.593687482,3.227115083,0.055192043,3.831037486,0.131630572,3.715501945,0.100883753,3.793999801,0.120870156
CC019_F12,CC019,f,4.83379711,4.742937122,0.811222545,4.546419267,0.636036655,3.18582536,0.04359193,4.282191456,0.346142028,2.712649702,0.009326369,1.924279286,0.001518246,5.207984247,4.99127482,0.607142415,4.65889817,0.46518248,3.172602931,0.032636589,4.643136711,0.448602708,3.810770011,0.065992593,2.8162413,0.006682923,5.515830147,4.970095713,0.284620099,4.760626011,0.61734836,3.421768401,0.045829212,4.169850702,0.158399931,3.769451179,0.063002164,4.004880007,0.108338868
CC026_M13,CC026,m,4.498599987,4.331103226,0.679991117,4.071255878,0.549734067,2.715167358,0.044046508,3.954628378,0.420266866,2.611723308,0.019081833,1.477121255,0.001399645,5.373794417,4.91239744,0.345623309,4.584252049,0.469736826,3.42373725,0.069101138,4.497399649,0.384593738,3.962416693,0.11220682,2.764176132,0.007108512,5.724474944,4.685858132,0.091492014,4.444700429,0.573908025,2.818225894,0.02363336,3.851258349,0.146352524,3.62065648,0.086059407,3.83486558,0.140931297
